model mSUGRA
parameter tanbeta 3
parameter a0 -400
parameter mu 1
parameter kFactorProcessWeighted true
scan m0m12 10.0 240.0 cu3e 0.0031 0.0012
scan m0m12 10.0 240.0 cu2mutau 0.0059 0.0016
scan m0m12 10.0 240.0 cu2etau 0.007 0.0018
scan m0m12 10.0 240.0 cuemutau 0.001 0.0006
scan m0m12 10.0 240.0 cuss2mu1e 0.0 0.0
scan m0m12 10.0 240.0 cuss2e1mu 0.0007 0.0006
scan m0m12 10.0 240.0 cuss2mutau 0.0 0.0
scan m0m12 10.0 240.0 cuss2etau 0.0015 0.0009
scan m0m12 10.0 240.0 cussemutau 0.0 0.0
scan m0m12 10.0 240.0 cu4mu0e0tau 0.0007 0.0006
scan m0m12 10.0 240.0 cu3mu1e0tau 0.0008 0.0006
scan m0m12 10.0 240.0 cu2mu2e0tau 0.0 0.0
scan m0m12 10.0 240.0 cu1mu3e0tau 0.0 0.0
scan m0m12 10.0 240.0 cu0mu4e0tau 0.0 0.0
scan m0m12 10.0 240.0 cu3mu0e1tau 0.0017 0.0009
scan m0m12 10.0 240.0 cu2mu1e1tau 0.0 0.0
scan m0m12 10.0 240.0 cu1mu2e1tau 0.0 0.0
scan m0m12 10.0 240.0 cu0mu3e1tau 0.0 0.0
scan m0m12 10.0 240.0 cu2mu0e2tau 0.0007 0.0006
scan m0m12 10.0 240.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 240.0 cu0mu2e2tau 0.0 0.0
scan m0m12 10 250 LOXSEC 4.8640
scan m0m12 10.0 250.0 cu3mu 0.0078 0.0016
scan m0m12 10.0 250.0 cu2mu1e 0.008 0.0018
scan m0m12 10.0 250.0 cu2e1mu 0.0047 0.0014
scan m0m12 10.0 250.0 cu3e 0.0022 0.0008
scan m0m12 10.0 250.0 cu2mutau 0.0111 0.0019
scan m0m12 10.0 250.0 cu2etau 0.0031 0.0011
scan m0m12 10.0 250.0 cuemutau 0.0011 0.0007
scan m0m12 10.0 250.0 cuss2mu1e 0.0 0.0
scan m0m12 10.0 250.0 cuss2e1mu 0.002 0.0008
scan m0m12 10.0 250.0 cuss2mutau 0.0011 0.0005
scan m0m12 10.0 250.0 cuss2etau 0.0 0.0
scan m0m12 10.0 250.0 cussemutau 0.0007 0.0005
scan m0m12 10.0 250.0 cu4mu0e0tau 0.0005 0.0005
scan m0m12 10.0 250.0 cu3mu1e0tau 0.0 0.0
scan m0m12 10.0 250.0 cu2mu2e0tau 0.0 0.0
scan m0m12 10.0 250.0 cu1mu3e0tau 0.0 0.0
scan m0m12 10.0 250.0 cu0mu4e0tau 0.0 0.0
scan m0m12 10.0 250.0 cu3mu0e1tau 0.0006 0.0005
scan m0m12 10.0 250.0 cu2mu1e1tau 0.0015 0.0007
scan m0m12 10.0 250.0 cu1mu2e1tau 0.0006 0.0005
scan m0m12 10.0 250.0 cu0mu3e1tau 0.0 0.0
scan m0m12 10.0 250.0 cu2mu0e2tau 0.0 0.0
