model GGM
parameter na
parameter na
parameter na
parameter kFactorProcessWeighted true
scan mcmg 300 600 LOXSEC 6.1600
scan mcmg 300.0 850.0 cuemutau 0.0044 0.0015
scan mcmg 300.0 850.0 cuss2mu1e 0.005 0.0009
scan mcmg 300.0 850.0 cuss2e1mu 0.0066 0.0011
scan mcmg 300.0 850.0 cuss2mutau 0.0023 0.0009
scan mcmg 300.0 850.0 cuss2etau 0.0032 0.0012
scan mcmg 300.0 850.0 cussemutau 0.005 0.0017
scan mcmg 300.0 850.0 cu4mu0e0tau 0.0565 0.0083
scan mcmg 300.0 850.0 cu3mu1e0tau 0.0384 0.0044
scan mcmg 300.0 850.0 cu2mu2e0tau 0.0624 0.0068
scan mcmg 300.0 850.0 cu1mu3e0tau 0.0151 0.0021
scan mcmg 300.0 850.0 cu0mu4e0tau 0.0175 0.003
scan mcmg 300.0 850.0 cu3mu0e1tau 0.0105 0.0036
scan mcmg 300.0 850.0 cu2mu1e1tau 0.0109 0.0036
scan mcmg 300.0 850.0 cu1mu2e1tau 0.0071 0.0024
scan mcmg 300.0 850.0 cu0mu3e1tau 0.0059 0.0021
scan mcmg 300.0 850.0 cu2mu0e2tau 0.005 0.0032
scan mcmg 300.0 850.0 cu1mu1e2tau 0.0014 0.0009
scan mcmg 300.0 850.0 cu0mu2e2tau 0.0025 0.0016
scan mcmg 300 900 LOXSEC 0.6658
scan mcmg 300.0 900.0 cu3mu 0.0303 0.0037
scan mcmg 300.0 900.0 cu2mu1e 0.0355 0.0037
scan mcmg 300.0 900.0 cu2e1mu 0.0216 0.0024
scan mcmg 300.0 900.0 cu3e 0.0211 0.0027
scan mcmg 300.0 900.0 cu2mutau 0.0111 0.0036
scan mcmg 300.0 900.0 cu2etau 0.0077 0.0026
scan mcmg 300.0 900.0 cuemutau 0.0031 0.0011
scan mcmg 300.0 900.0 cuss2mu1e 0.0032 0.0006
scan mcmg 300.0 900.0 cuss2e1mu 0.0042 0.0007
scan mcmg 300.0 900.0 cuss2mutau 0.0013 0.0005
scan mcmg 300.0 900.0 cuss2etau 0.0019 0.0007
scan mcmg 300.0 900.0 cussemutau 0.003 0.0011
scan mcmg 300.0 900.0 cu4mu0e0tau 0.0402 0.0059
scan mcmg 300.0 900.0 cu3mu1e0tau 0.0259 0.003
scan mcmg 300.0 900.0 cu2mu2e0tau 0.0468 0.0051
scan mcmg 300.0 900.0 cu1mu3e0tau 0.0117 0.0016
scan mcmg 300.0 900.0 cu0mu4e0tau 0.0131 0.0023
scan mcmg 300.0 900.0 cu3mu0e1tau 0.0061 0.0021
scan mcmg 300.0 900.0 cu2mu1e1tau 0.0069 0.0023
scan mcmg 300.0 900.0 cu1mu2e1tau 0.0043 0.0015
scan mcmg 300.0 900.0 cu0mu3e1tau 0.0036 0.0013
scan mcmg 300.0 900.0 cu2mu0e2tau 0.0018 0.0011
scan mcmg 300.0 900.0 cu1mu1e2tau 0.0007 0.0005
scan mcmg 300.0 900.0 cu0mu2e2tau 0.0014 0.0009
scan mcmg 300 950 LOXSEC 0.5207
scan mcmg 300.0 950.0 cu3mu 0.022 0.0027
scan mcmg 300.0 950.0 cu2mu1e 0.0227 0.0024
scan mcmg 300.0 950.0 cu2e1mu 0.0154 0.0017
scan mcmg 300.0 950.0 cu3e 0.0135 0.0018
scan mcmg 300.0 950.0 cu2mutau 0.0069 0.0023
scan mcmg 300.0 950.0 cu2etau 0.0041 0.0014
scan mcmg 300.0 950.0 cuemutau 0.0024 0.0009
scan mcmg 300.0 950.0 cuss2mu1e 0.0025 0.0005
scan mcmg 300.0 950.0 cuss2e1mu 0.0031 0.0006
scan mcmg 300.0 950.0 cuss2mutau 0.0009 0.0004
scan mcmg 300.0 950.0 cuss2etau 0.0011 0.0004
scan mcmg 300.0 950.0 cussemutau 0.0023 0.0008
scan mcmg 300.0 950.0 cu4mu0e0tau 0.0255 0.0038
scan mcmg 300.0 950.0 cu3mu1e0tau 0.0187 0.0022
scan mcmg 300.0 950.0 cu2mu2e0tau 0.0282 0.0031
scan mcmg 300.0 950.0 cu1mu3e0tau 0.0093 0.0013
scan mcmg 300.0 950.0 cu0mu4e0tau 0.0081 0.0014
scan mcmg 300.0 950.0 cu3mu0e1tau 0.0047 0.0016
scan mcmg 300.0 950.0 cu2mu1e1tau 0.0039 0.0013
scan mcmg 300.0 950.0 cu1mu2e1tau 0.0029 0.001
scan mcmg 300.0 950.0 cu0mu3e1tau 0.0024 0.0009
scan mcmg 300.0 950.0 cu2mu0e2tau 0.0012 0.0008
scan mcmg 300.0 950.0 cu1mu1e2tau 0.0006 0.0004
scan mcmg 300.0 950.0 cu0mu2e2tau 0.0011 0.0007
scan mcmg 300 1000 LOXSEC 0.4289
scan mcmg 300.0 1000.0 cu3mu 0.0158 0.002
scan mcmg 300.0 1000.0 cu2mu1e 0.0187 0.002
scan mcmg 300.0 1000.0 cu2e1mu 0.0106 0.0012
scan mcmg 300.0 1000.0 cu3e 0.0097 0.0013
scan mcmg 300.0 1000.0 cu2mutau 0.0055 0.0018
scan mcmg 300.0 1000.0 cu2etau 0.0036 0.0012
scan mcmg 300.0 1000.0 cuemutau 0.0021 0.0007
scan mcmg 300.0 1000.0 cuss2mu1e 0.0017 0.0003
scan mcmg 300.0 1000.0 cuss2e1mu 0.002 0.0004
scan mcmg 300.0 1000.0 cuss2mutau 0.0005 0.0002
scan mcmg 300.0 1000.0 cuss2etau 0.0003 0.0002
scan mcmg 300.0 1000.0 cussemutau 0.0021 0.0008
scan mcmg 300.0 1000.0 cu4mu0e0tau 0.0182 0.0027
scan mcmg 300.0 1000.0 cu3mu1e0tau 0.0127 0.0015
scan mcmg 300.0 1000.0 cu2mu2e0tau 0.0212 0.0024
scan mcmg 300.0 1000.0 cu1mu3e0tau 0.0067 0.001
scan mcmg 300.0 1000.0 cu0mu4e0tau 0.0061 0.0011
scan mcmg 300.0 1000.0 cu3mu0e1tau 0.0025 0.0009
scan mcmg 300.0 1000.0 cu2mu1e1tau 0.0035 0.0012
scan mcmg 300.0 1000.0 cu1mu2e1tau 0.0027 0.001
scan mcmg 300.0 1000.0 cu0mu3e1tau 0.0014 0.0005
scan mcmg 300.0 1000.0 cu2mu0e2tau 0.0011 0.0007
scan mcmg 300.0 1000.0 cu1mu1e2tau 0.0004 0.0003
scan mcmg 300.0 1000.0 cu0mu2e2tau 0.0012 0.0008
scan mcmg 300 1050 LOXSEC 0.3688
scan mcmg 300.0 1050.0 cu3mu 0.0115 0.0015
scan mcmg 300.0 1050.0 cu2mu1e 0.0119 0.0013
scan mcmg 300.0 1050.0 cu2e1mu 0.0071 0.0009
scan mcmg 300.0 1050.0 cu3e 0.0071 0.001
scan mcmg 300.0 1050.0 cu2mutau 0.0033 0.0011
scan mcmg 300.0 1050.0 cu2etau 0.0028 0.0009
scan mcmg 300.0 1050.0 cuemutau 0.0009 0.0004
scan mcmg 300.0 1050.0 cuss2mu1e 0.0012 0.0002
scan mcmg 300.0 1050.0 cuss2e1mu 0.0009 0.0002
scan mcmg 300.0 1050.0 cuss2mutau 0.0003 0.0001
scan mcmg 300.0 1050.0 cuss2etau 0.0007 0.0003
scan mcmg 300.0 1050.0 cussemutau 0.0014 0.0005
scan mcmg 300.0 1050.0 cu4mu0e0tau 0.0132 0.002
scan mcmg 300.0 1050.0 cu3mu1e0tau 0.0091 0.0011
scan mcmg 300.0 1050.0 cu2mu2e0tau 0.0138 0.0016
scan mcmg 300.0 1050.0 cu1mu3e0tau 0.0049 0.0007
scan mcmg 300.0 1050.0 cu0mu4e0tau 0.0042 0.0008
scan mcmg 300.0 1050.0 cu3mu0e1tau 0.0023 0.0008
scan mcmg 300.0 1050.0 cu2mu1e1tau 0.0025 0.0009
scan mcmg 300.0 1050.0 cu1mu2e1tau 0.0013 0.0005
scan mcmg 300.0 1050.0 cu0mu3e1tau 0.0012 0.0005
scan mcmg 300.0 1050.0 cu2mu0e2tau 0.0004 0.0003
scan mcmg 300.0 1050.0 cu1mu1e2tau 0.0003 0.0003
scan mcmg 300.0 1050.0 cu0mu2e2tau 0.0007 0.0004
scan mcmg 300 1100 LOXSEC 0.3242
scan mcmg 300.0 1100.0 cu3mu 0.007 0.001
scan mcmg 300.0 1100.0 cu2mu1e 0.0085 0.001
scan mcmg 300.0 1100.0 cu2e1mu 0.0054 0.0007
scan mcmg 300.0 1100.0 cu3e 0.0043 0.0006
scan mcmg 300.0 1100.0 cu2mutau 0.0023 0.0008
scan mcmg 300.0 1100.0 cu2etau 0.002 0.0007
scan mcmg 300.0 1100.0 cuemutau 0.001 0.0004
scan mcmg 300.0 1100.0 cuss2mu1e 0.0013 0.0003
scan mcmg 300.0 1100.0 cuss2e1mu 0.0013 0.0003
scan mcmg 300.0 1100.0 cuss2mutau 0.0007 0.0003
scan mcmg 300.0 1100.0 cuss2etau 0.0005 0.0002
scan mcmg 300.0 1100.0 cussemutau 0.0009 0.0003
scan mcmg 300.0 1100.0 cu4mu0e0tau 0.0099 0.0015
scan mcmg 300.0 1100.0 cu3mu1e0tau 0.0062 0.0008
scan mcmg 300.0 1100.0 cu2mu2e0tau 0.0085 0.001
scan mcmg 300.0 1100.0 cu1mu3e0tau 0.003 0.0005
scan mcmg 300.0 1100.0 cu0mu4e0tau 0.0025 0.0005
scan mcmg 300.0 1100.0 cu3mu0e1tau 0.0015 0.0006
